크롤링시간,지역,가게이름,아이디,몇시간전,주문내용,댓글,맛,양,배달,사장,사진주소
2021년 3월 18일,본오동,청년치킨-상록수점,zz**님,2021년 3월 18일,청년 후라이드 바삭매콤/1(뼈or순살 선택(뼈＋콜라500mL)),맛도 좋지만 서비스랑 배달이 굿굿,5,5,5,고객님 소중하고 이쁜 리뷰 남겨주셔서 감사합니다극찬에 극찬을 해주셨어용너무 감사하고 즐거운 하루 되셨으면합니다 또만나요,https://rev-static.yogiyo.co.kr/1e9408bf62321d8cec632cfcbe3491d3_tn.jpg
2021년 3월 17일,본오동,청년치킨-상록수점,el**님,2021년 3월 17일,청년（후반＋양반）/1(뼈or순살 선택(뼈＋콜라500mL)),계속시켜먹는데 항상맛있네용,5,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다우왕 손늼 계속 드시는데 항상 맛있다는 극찬까지또 시키실 예정이신데 그에 답하여 또 맛있게 보내드릴거에요너무 감사하고 즐거운 하루 되셨으면합니다 또만나용 ,https://rev-static.yogiyo.co.kr/f8e2df782ee7520f8d7db28ebadfe1af_tn.jpg
2021년 3월 15일,본오동,청년치킨-상록수점,ss**님,2021년 3월 15일,"청년 후라이드 바삭매콤/1(뼈or순살 선택(순살＋콜라500mL),추가선택(콜라1.25L로 변경),반마리 추가선택(양념치킨 반마리（순살）추가)),양념소스 추가/3,특제 매운양념소스/1",완전 제스탈이에욤..😍,5,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다아잇 암 부끄러운데 커흑사진과 이모티콘까지 제스타일이에여 다음엔 다른 메뉴로 또 도전하시는건 어떠세용소스도 이것 저것 찍어드시다보면 청년치킨의 매력에 더더욱 빠져드실겁니다생각나시면 언제든 주문해주시고 즐거운 하루 되세영 ,https://rev-static.yogiyo.co.kr/3d35fe988b281f13b2e8c25dcfee8565_tn.jpg
2021년 3월 14일,본오동,청년치킨-상록수점,je**님,2021년 3월 14일,청년 양념치킨 달콤한~/1(뼈or순살 선택(뼈＋콜라500mL)),리뷰보고 맛있다고 해서 주문했는데제입맛에도 맛있네요~^^  사업번창하세요~^^,5,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다에쿠쿠 리뷰보고 주문해주셨는데 입맛에 맞으셔서 너무 다행입니다사업 번창하라는 아주 좋은 말씀 정말 감사드려요자주 이용해주시고 즐거운 하루 되세요 ,https://rev-static.yogiyo.co.kr/713674079eecf27d84eb259f086331ab_tn.jpg
2021년 3월 13일,본오동,청년치킨-상록수점,ru**님,2021년 3월 13일,"청년 후라이드 바삭매콤/1(뼈or순살 선택(뼈＋콜라500mL)),청년 양념치킨 달콤한~/1(뼈or순살 선택(뼈＋콜라500mL))",먹다보니 사진 촬영은 못했네요배달도 빠르고 양도 푸짐하고 소스도 와사비소스인지 새롭고 좋았지만후라이드에서 조금 탄맛이 났어요제가 민감한거일수도 있지만 그부분이 조금 많이 아쉽네요,3,4,5,고객님 소중한 리뷰 남겨주셔서 감사합니다정말 죄송합니다 ㅠㅜ 청년후라이드는 염지가 되어 있는데 요즘 고객님들께서 매콤함을 선호하셔서 전보다 염지를 최대한 이용하고 있습니다 그러다보니 색깔이 좀 어두워지는 단점이 있습니다 닭의 염지된부분에 튀김옷이 잘 안입혀져있었거나 추가로 튀기는 과정에서 시간이 약간 지체되서 그런가봅니당 ㅠㅠ다시한번 정말 너무너무 죄송합니다 더더욱 신경쓰며 최상의 음식을 고객님께 보내드리도록 노력하겠습니다,이미지는 없어요
2021년 3월 13일,본오동,청년치킨-상록수점,he**님,2021년 3월 13일,청년（후반＋양반）/1(뼈or순살 선택(순살＋콜라500mL)),초고속 배달에 완전 맛있게 먹었어요~,5,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다헉 얼마나 빨랐길래 초고속이었을까요 따뜻한 치킨과 감자를 받으셔서 좋은 맛을 느끼셨군요 ㅎㅎ다음에 주문해주시면 마하의 속도로 보내볼게용즐거운 하루 되세여,https://rev-static.yogiyo.co.kr/f61b4fbe60a4d8d13bbf01bee39d26c7_tn.jpg
2021년 3월 12일,본오동,청년치킨-상록수점,sk**님,2021년 3월 12일,청년 후라이드 바삭매콤/1(뼈or순살 선택(뼈＋콜라500mL)),무 안주셔도된다고 했더니 무대신 ㅋㅋㅋㅋ이라고 써잇는 깜짝서비스 소스를주셧어요 ㅋㅋ 콜라에 얼음음료컵도 너무 센스👍👍👍 기분좋아지는 서비스에여,5,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다꺄 기분이 좋아지셨구나저는 무 없이는 치킨 못먹겠던데고객님께서 무 빼달라고 하셨지만 그래도 저희는 그만큼 또 챙겨드립니당탄산마실때 얼음은 필수죠 시원하게 크으생각나시면 또 주문해주세요즐거운 하루 되세요,https://rev-static.yogiyo.co.kr/4039a3196307d1300abf796d029044c6_tn.jpg
2021년 3월 11일,본오동,청년치킨-상록수점,in**님,2021년 3월 11일,청년 후라이드 바삭매콤/1(뼈or순살 선택(뼈＋콜라500mL)),소스가 많아서 퍽살도 먹기 아주 조아요!,5,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다소스가 마음에 드셔서 너무 다행이에요다음에 또 주문해주시면 너무 감사할것같아오즐거운 하루 되세용,https://rev-static.yogiyo.co.kr/9db950f1624b0fc3ebfb909dd23ab764_tn.jpg
2021년 3월 11일,본오동,청년치킨-상록수점,gy**님,2021년 3월 11일,청년（양념반＋간장반）/1(뼈or순살 선택(순살＋콜라500mL)),맛있고 양도 많고 배달이 암청 빨라요,5,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다또 만나여 ㅂㅇ즐거운 하루 되시고 늘 행복하세요 ㅇ,https://rev-static.yogiyo.co.kr/319391ef083d023d043ad561cc054ef4_tn.jpg
2021년 3월 9일,본오동,청년치킨-상록수점,wj**님,2021년 3월 9일,"청년 후라이드 바삭매콤/1(뼈or순살 선택(순살＋콜라500mL),추가선택(특제 매운양념소스 추가))",아니 무슨 소스골라먹는 재미인가요!!!양도많고 맛도 있고 좋아용 최고에영 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,5,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다소스가 개네욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ한번 한입 드실때마다 골라찍어 드시면 절대 안질리겠어요다음엔 치킨도 종류별로 드셔보셔요또 만나여 ㅂㅇ즐거운 하루 되시고 늘 행복하세요 ㅇ,https://rev-static.yogiyo.co.kr/50efcbcb8c3fdea6e5a9df43e754e4f0_tn.jpg
