크롤링시간,지역,가게이름,아이디,몇시간전,주문내용,댓글,맛,양,배달,사장,사진주소
2021년 9월 24일,사동,BHC-안산사동점,bj**님,2021년 9월 24일,뿌링클 콤보/1,요청사항: 무 빼기맛있어요~~!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/bd1437fcf36060efbfa300d973664d34_tn.jpg
2021년 9월 23일,사동,BHC-안산사동점,w0**님,2021년 9월 23일,맛초킹（반）＋치즈볼/1,맛초킹 처음 먹어봤는데 맛있고 배달도 빨리왔어요~!,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 21일,사동,BHC-안산사동점,1c**님,2021년 9월 21일,하바네로 포테킹 후라이드/1,진리입니다 ~후회하지않아요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 21일,사동,BHC-안산사동점,jj**님,2021년 9월 21일,골드킹 콤보＋뿌링치즈볼/1,맛있게 잘 먹었습니다,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 18일,사동,BHC-안산사동점,ly**님,2021년 9월 18일,뿌링클（반）＋치즈볼/1,뿌링클 최고 !-!’,4,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/5325c55b3786ad45020d9746ff169d89_tn.jpg
2021년 9월 17일,사동,BHC-안산사동점,ja**님,2021년 9월 17일,뿌링클순살/1,맛있어요 ~ 잘먹었습니다,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 15일,사동,BHC-안산사동점,k5**님,2021년 9월 15일,"맛초킹 순살＋치즈볼/1(변경&추가(뿌링 치즈볼로 변경),변경&추가(뿌링뿌링소스 추가),옵션(콜라1.25L))",맛있게 잘 먹었습니다,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 13일,사동,BHC-안산사동점,ft**님,2021년 9월 13일,골드킹 콤보/1,벨 누르지말라고 얼마나 써야 벨을 안눌러요?이해가안되네,5,5,1,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 13일,사동,BHC-안산사동점,au**님,2021년 9월 13일,골드킹 콤보＋치즈볼/1,항상 여기서만 시켜먹어요 치즈볼 감사합니다!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/43ad4887d7386c48fcfa31ac34c3be4e_tn.jpg
2021년 9월 12일,사동,BHC-안산사동점,25**님,2021년 9월 12일,후라이드 반／양념 반/1,✨✨✨✨✨✨✨✨✨✨✨✨,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
