No.,2VF1 B,3VF1 G,4VF1 R,5IR B,6IR G,7IR R,8VF B,9VF G,10VF R,11LMD B,12LMD G,13LMD R
2160,2.259,1.936,1.408,0.007,0.011,0.01,3.192,3.345,2.325,457.3,524,622.2
2161,2.272,1.936,1.414,0.007,0.012,0.011,3.468,3.329,2.36,457.7,523.7,622
2162,2.239,1.946,1.405,0.007,0.012,0.012,3.174,3.535,2.345,458.3,525,622.2
2163,2.245,1.927,1.397,0.007,0.011,0.011,3.484,3.424,2.327,459.1,524,621.5
2164,2.261,1.928,1.407,0.007,0.011,0.011,3.208,3.337,2.316,457.4,523.8,622.4
2165,2.262,1.9,1.398,0.011,0.013,0.007,3.306,3.411,2.406,458.2,523.9,621.6
2166,2.212,1.947,1.407,0.007,0.011,0.011,3.2,3.456,2.349,457.6,524.5,621.7
2167,2.268,1.938,1.405,0.008,0.012,0.011,3.202,3.459,2.326,457.7,524.4,622.2
2168,2.264,1.931,1.408,0.013,0.013,0.006,3.107,3.343,2.4,457.4,523.9,622.1
2169,2.262,1.906,1.411,0.013,0.202,0.007,3.315,3.345,2.436,457.8,523.6,621.6
2170,2.259,1.94,1.407,0.012,0.012,0.007,3.11,3.399,2.405,457.6,521.2,622
2171,2.267,1.94,1.41,0.013,0.011,0.007,3.317,3.321,2.435,457.7,523.5,621.5
2172,2.275,1.936,1.399,0.012,0.012,0.007,3.325,3.335,2.407,457.5,523.9,621.3
2173,2.249,1.938,1.414,0.012,0.011,0.007,3.15,3.327,2.457,457.6,523.6,621.7
2174,2.254,1.939,1.406,0.007,0.012,0.011,3.174,3.419,2.32,459.3,521.4,622.5
2175,2.266,1.931,1.391,0.007,0.011,0.011,3.379,3.389,2.349,457.5,523.9,622
2176,2.206,1.928,1.397,0.007,0.011,0.011,3.193,3.378,2.325,457.9,523.6,621.5
2177,2.261,1.937,1.409,0.012,0.012,0.007,3.1,3.333,2.403,457.3,523.9,622.2
2178,2.264,1.938,1.41,0.007,0.012,0.011,3.382,3.348,2.355,458,523.8,621.6
2179,2.258,1.931,1.405,0.007,0.011,0.011,3.195,3.362,2.316,457.7,524,622
2180,2.205,1.927,1.396,0.006,0.011,0.011,3.169,3.415,2.322,457.8,523.4,621.5
2181,2.222,1.942,1.407,0.011,0.011,0.007,3.079,3.466,2.404,460,524.3,622.1
2182,2.265,1.941,1.406,0.012,0.013,0.007,3.113,3.43,2.413,459,521,622
2183,2.268,1.934,1.396,0.008,0.011,0.01,3.394,3.368,2.323,457.7,524,621.6
2184,2.266,1.945,1.409,0.011,0.012,0.006,3.128,3.472,2.426,457.9,524.4,622.1
2185,2.247,1.94,1.406,0.007,0.011,0.011,3.16,3.486,2.34,458,524.6,622.2
2186,2.25,1.931,1.396,0.007,0.011,0.011,3.174,3.428,2.328,457.9,523.3,621.3
2187,2.2,1.929,1.396,0.008,0.011,0.012,3.143,3.431,2.326,459.9,523.8,621.4
2188,2.253,1.931,1.397,0.011,0.012,0.006,3.099,3.426,2.404,457.7,523.9,621.5
2189,2.198,1.94,1.405,0.008,0.011,0.011,3.135,3.411,2.326,458.3,521.1,622.2
2190,2.266,1.931,1.407,0.011,0.012,0.006,3.158,3.348,2.405,457.7,523.8,622.4
2191,2.262,1.949,1.406,0.008,0.011,0.011,3.214,3.567,2.341,458.1,524.4,622.1
2192,2.227,1.925,1.397,0.008,0.011,0.011,3.197,3.422,2.322,458.2,523.5,621.6
2193,2.246,1.93,1.399,0.011,0.012,0.006,3.361,3.424,2.415,459.3,524,621.6
2194,2.269,1.934,1.398,0.012,0.012,0.006,3.305,3.398,2.42,457.4,523.8,621.3
2195,2.236,1.94,1.409,0.012,0.012,0.007,3.086,3.451,2.428,458,525.1,621.9
2196,2.264,1.94,1.41,0.013,0.012,0.007,3.314,3.341,2.44,458.1,523.6,621.6
2197,2.262,1.937,1.412,0.012,0.012,0.007,3.102,3.335,2.46,457.3,524,621.6
2198,2.203,1.921,1.409,0.012,0.011,0.007,3.139,3.539,2.434,457.5,525.4,621.9
2199,2.203,1.927,1.397,0.012,0.012,0.007,3.112,3.371,2.417,457.6,523.6,621.5
2200,2.277,1.94,1.407,0.012,0.013,0.006,3.109,3.448,2.403,457.4,525.3,622.2
2201,2.276,1.941,1.408,0.012,0.012,0.006,3.109,3.457,2.426,458.6,524.5,622.3
2202,2.266,1.938,1.41,0.011,0.012,0.006,3.111,3.326,2.438,457.3,523.9,621.7
2203,2.27,1.94,1.408,0.011,0.012,0.006,3.114,3.421,2.416,457.2,521.3,622.1
2204,2.244,1.938,1.414,0.012,0.013,0.007,3.364,3.335,2.461,459.3,523.7,621.8
2205,2.25,1.934,1.397,0.012,0.012,0.007,3.397,3.392,2.409,459.3,523.6,621.3
2206,2.264,1.933,1.407,0.012,0.012,0.007,3.107,3.327,2.404,457.3,523.9,622.2
2207,2.25,1.931,1.4,0.012,0.012,0.007,3.346,3.412,2.411,458.4,523.9,621.5
2208,2.269,1.933,1.391,0.011,0.012,0.006,3.301,3.388,2.437,457.5,523.9,622.1
2209,2.267,1.944,1.407,0.012,0.012,0.006,3.148,3.407,2.406,457.5,521.2,622.2
2210,2.197,1.935,1.407,0.008,0.011,0.01,3.134,3.361,2.325,458.1,523.9,622.1
2211,2.27,1.933,1.397,0.008,0.011,0.011,3.47,3.387,2.33,457.8,523.2,621.5
2212,2.274,1.929,1.396,0.007,0.011,0.01,3.407,3.418,2.323,457.4,523.9,621.6
2213,2.253,1.93,1.396,0.007,0.011,0.01,3.421,3.439,2.318,458.2,523.7,621.7
2214,2.179,1.939,1.405,0.007,0.011,0.011,3.156,3.459,2.333,458,525,622
2215,2.27,1.932,1.407,0.012,0.012,0.006,3.11,3.315,2.407,458,523.8,622.1
2216,2.261,1.934,1.407,0.012,0.012,0.007,3.107,3.34,2.405,458.7,523.8,622.1
2217,2.261,1.934,0,0.01,0.013,10,3.386,3.334,0.06,458.1,524,0
2218,2.244,1.931,1.396,0.007,0.011,0.011,3.429,3.375,2.343,458.9,523.8,621.2
2219,2.271,1.94,1.405,0.008,0.011,0.011,3.185,3.398,2.318,457.7,521.2,622.2
2220,2.241,1.94,1.41,0.012,0.013,0.006,3.338,3.36,2.441,459.3,523.9,621.6
2221,2.259,1.942,1.407,0.081,0.013,0.008,3.127,3.403,2.403,457.3,521.2,622.1
2222,2.248,1.938,1.399,0.013,0.012,0.007,3.35,3.387,2.405,458.7,523.9,621.7
2223,2.206,1.921,1.406,0.007,0.011,0.011,3.212,3.589,2.34,457.5,525.4,622
2224,2.286,1.944,1.405,0.007,0.012,0.011,3.25,3.485,2.32,457.7,524.1,622.1
2225,2.181,1.93,1.398,0.013,0.011,0.006,3.086,3.411,2.415,458.7,523.9,621.6
2226,2.27,1.937,1.408,0.008,0.012,0.011,3.403,3.375,2.345,457.3,524,621.7
2227,2.239,1.936,1.396,0.007,0.012,0.011,3.433,3.348,2.322,459.6,523.9,621.5
2228,2.224,1.936,1.409,0.011,0.012,0.006,3.067,3.334,2.419,458.7,523.8,621.7
2229,2.208,1.947,1.409,0.007,0.011,0.011,3.213,3.473,2.349,457.6,524.7,621.7
2230,2.216,1.952,1.41,0.012,0.011,0.006,3.132,3.553,2.434,457.4,523.8,621.7
2231,2.17,1.929,1.397,0.007,0.011,0.011,3.161,3.395,2.328,459,523.4,621.5
2232,2.24,1.929,1.398,0.012,0.011,0.006,3.101,3.377,2.408,457.7,523.2,621.6
2233,2.255,1.95,1.406,0.007,0.011,0.012,3.156,3.461,2.346,457.7,523.7,622
2234,2.185,1.926,1.397,0.011,0.011,0.006,3.119,3.448,2.411,458.1,523.9,621.5
2235,2.202,1.923,1.409,0.013,0.011,0.006,3.145,3.577,2.44,457.3,525.2,621.8
2236,2.264,1.929,1.391,0.007,0.011,0.011,3.39,3.415,2.358,457.9,523.7,622
2237,2.263,1.936,1.409,0.008,0.012,0.011,3.189,3.332,2.366,457.2,523.9,621.6
2238,2.252,1.931,1.397,0.008,0.011,0.011,3.455,3.408,2.333,458.7,523.6,621.5
2239,2.24,1.94,1.406,0.012,0.012,0.006,3.152,3.418,2.401,457.8,521.2,622.1
2240,2.25,1.93,1.398,0.011,0.012,0.006,3.414,3.401,2.405,459,523.5,621.5
2241,2.247,1.937,1.399,0.012,0.013,0.005,3.306,3.345,2.4,459.3,523.7,621.7
2242,2.266,1.938,1.409,0.007,0.011,0.011,3.2,3.377,2.348,457.4,523.8,621.8
2243,2.25,1.931,1.398,0.011,0.012,0.006,3.095,3.427,2.402,457.7,523.9,621.5
2244,2.261,1.94,1.407,0.013,0.012,0.006,3.128,3.438,2.402,457.7,521.2,622.1
2245,2.264,1.941,1.405,0.008,0.011,0.011,3.224,3.439,2.326,457.7,521.2,622
2246,2.263,1.939,1.413,0.013,0.013,0.006,3.113,3.382,2.424,457.4,524.1,621.9
2247,2.211,1.949,1.408,0.006,0.011,0.011,3.226,3.585,2.345,457.6,524,621.7
2248,2.259,1.935,1.408,0.007,0.011,0.012,3.186,3.337,2.32,457.3,524.1,622.4
2249,2.218,1.929,1.396,0.007,0.011,0.011,3.193,3.389,2.325,457.8,523.4,621.6
2250,2.231,1.93,1.407,0.006,0.011,0.011,3.148,3.364,2.321,458.2,523.8,622.3
2251,2.207,1.922,1.409,0.012,0.012,0.006,3.127,3.583,2.432,457.4,525.2,621.7
2252,2.267,1.931,1.396,0.007,0.012,0.013,3.43,3.396,2.34,457.8,523.6,621.3
2253,2.23,1.949,1.409,0.012,0.012,0.006,3.165,3.499,2.432,458.6,524.2,621.8
2254,2.25,1.945,1.409,0.008,0.011,0.012,3.202,3.606,2.358,458.1,525.2,621.7
2255,2.226,1.93,1.396,0.008,0.011,0.011,3.172,3.397,2.328,458.1,523.3,621.5
2256,2.267,1.925,1.405,0.007,0.012,0.01,3.234,3.351,2.323,457.8,523.9,622.2
2257,2.27,1.936,1.409,0.008,0.011,0.01,3.148,3.341,2.327,458.6,523.8,622.5
2258,2.273,1.928,1.396,0.006,0.01,0.011,3.166,3.413,2.325,457.8,523.8,621.6
2259,2.267,1.938,1.406,0.008,0.012,0.011,3.162,3.451,2.349,457.6,524.2,622.1
2260,2.263,1.941,1.405,0.008,0.011,0.011,3.213,3.399,2.323,457.3,521.2,622.3
2261,2.24,1.935,1.415,0.007,0.011,0.011,3.422,3.336,2.379,459.6,524.2,622
2262,2.239,1.936,1.395,0.007,0.011,0.012,3.427,3.346,2.325,459.6,523.7,621.7
2263,2.26,1.933,1.407,0.012,0.012,0.006,3.139,3.347,2.405,457.7,523.9,621.9
2264,2.263,1.931,1.405,0.008,0.012,0.011,3.218,3.336,2.326,457.7,523.9,622
2265,2.274,1.933,1.395,0.012,0.012,0.007,3.325,3.395,2.424,457.3,523.9,621.6
2266,2.189,1.928,1.397,0.011,0.012,0.007,3.086,3.409,2.409,458.2,523.5,621.4
2267,2.267,1.93,1.405,0.007,0.011,0.011,3.182,3.357,2.318,458.6,524,622
2268,2.257,1.928,1.398,0.012,0.012,0.007,3.089,3.402,2.402,458,523.2,621.6
2269,2.277,1.943,1.405,0.007,0.011,0.012,3.151,3.459,2.333,459.8,524.4,622.1
2270,2.227,1.935,1.409,0.008,0.011,0.011,3.164,3.326,2.37,459.1,523.8,621.6
2271,2.24,1.935,1.408,0.008,0.011,0.01,3.183,3.327,2.325,457.9,523.7,622.2
2272,2.262,1.942,1.406,0.011,0.012,0.007,3.101,3.395,2.404,457.7,521.1,622.1
2273,2.262,1.932,1.408,0.012,0.012,0.006,3.137,3.318,2.41,457.7,523.8,622.1
2274,2.244,1.935,1.393,0.015,0.012,0.006,3.345,3.396,2.428,459.7,523.3,621.7
2275,2.249,1.937,1.413,0.011,0.013,0.006,3.317,3.321,2.437,459.3,524.1,621.8
2276,2.227,1.936,1.418,0.007,0.011,0.011,3.145,3.326,2.354,458.3,523.7,622.1
2277,2.261,1.937,1.41,0.008,0.012,0.011,3.185,3.339,2.348,457.3,524,621.8
2278,2.263,1.937,1.406,0.007,0.011,0.012,3.235,3.385,2.323,457.3,521.4,621.9
2279,2.24,1.924,1.398,0.008,0.011,0.011,3.393,3.397,2.331,459.3,523.9,621.4
2280,2.263,1.94,1.41,0.011,0.012,0.006,3.303,3.317,2.432,457.9,523.5,621.6
2281,2.271,1.922,1.405,0.008,0.011,0.011,3.185,3.335,2.323,457.8,524,622.1
2282,2.269,1.932,1.395,0.011,0.012,0.006,3.305,3.393,2.432,457.5,523.7,621.6
2283,2.261,1.929,1.397,0.007,0.011,0.011,3.381,3.386,2.316,458.3,524,621.8
2284,2.169,1.929,1.396,0.007,0.011,0.011,3.19,3.373,2.325,457.6,523.8,621.5
2285,2.27,1.936,1.408,0.012,0.013,0.007,3.1,3.32,2.399,457.4,524.2,622.1
2286,2.25,1.931,1.398,0.012,0.012,0.006,3.095,3.396,2.403,457.7,523.9,621.6
2287,2.251,1.94,1.41,0.012,0.012,0.006,3.335,3.329,2.432,458.3,523.6,621.6
2288,2.264,1.938,1.417,0.007,0.011,0.01,3.19,3.346,2.361,457.2,523.8,622.2
2289,2.265,1.932,1.395,0.012,0.011,0.006,3.315,3.381,2.424,458.4,523.8,621.7
2290,2.28,1.942,1.407,0.012,0.012,0.006,3.058,3.458,2.397,459.3,524,622.1
2291,2.267,1.929,1.397,0.007,0.011,0.011,3.165,3.398,2.336,457.8,523.8,621.3
2292,2.268,1.93,1.398,0.011,0.011,0.006,3.098,3.379,2.413,458.4,523.7,621.4
2293,2.223,1.936,1.409,0.008,0.011,0.011,3.14,3.314,2.369,457.4,523.7,621.5
2294,2.265,1.93,1.395,0.008,0.012,0.011,3.39,3.381,2.341,457.6,524,621.4
2295,2.261,1.946,1.408,0.012,0.011,0.006,3.155,3.455,2.406,458,524.3,622.1
2296,2.27,1.939,1.406,0.012,0.012,0.006,3.112,3.368,2.405,458.5,521.5,622
2297,2.274,1.94,1.407,0.013,0.013,0.007,3.169,3.401,2.407,457.2,520.9,622.1
2298,2.26,1.936,1.408,0.007,0.012,0.011,3.465,3.321,2.362,458.4,523.9,621.5
2299,2.255,1.937,1.413,0.011,0.012,0.006,3.101,3.33,2.454,457.4,523.8,621.7
2300,2.262,1.938,1.409,0.012,0.013,0.006,3.123,3.316,2.416,457.6,523.9,621.8
2301,2.244,1.934,1.397,0.012,0.012,0.007,3.343,3.386,2.42,459.7,523.7,621.4
2302,2.244,1.937,1.424,0.012,0.012,0.007,3.352,3.321,2.458,459.4,523.8,622.3
2303,2.233,1.94,1.405,0.007,0.012,0.011,3.16,3.396,2.325,457.8,521.1,622.1
2304,2.252,1.934,1.399,0.011,0.011,0.005,3.333,3.376,2.413,459,523.6,621.5
2305,2.209,1.951,1.408,0.013,0.012,0.007,3.126,3.496,2.42,457.5,523.8,622.3
2306,2.262,1.931,1.395,0.007,0.012,0.01,3.391,3.372,2.336,458.3,523.8,621.4
2307,2.273,1.94,1.412,0.011,0.012,0.006,3.317,3.32,2.437,457.4,523.9,621.6
2308,2.258,1.941,1.405,0.007,0.011,0.011,3.185,3.384,2.328,457.4,521.2,622.1
2309,2.238,1.937,1.418,0.006,0.01,0.011,3.151,3.338,2.36,457.7,523.9,622.2
2310,2.253,1.935,1.408,0.01,0.011,0.005,3.115,3.318,2.406,458.4,524.1,622
2311,2.24,1.949,1.406,0.008,0.011,0.011,3.16,3.446,2.345,457.7,523.9,622.2
2312,2.242,1.94,1.405,0.007,0.011,0.011,3.158,3.445,2.327,458,524.9,622.2
2313,2.264,1.937,1.406,0.011,0.012,0.006,3.107,3.323,2.405,458.5,522.6,622
2314,2.242,1.933,1.399,0.013,0.012,0.006,3.315,3.393,2.417,459.4,523.8,621.4
2315,2.172,1.929,1.396,0.008,0.012,0.01,3.175,3.381,2.33,457.9,523.4,621.5
2316,2.274,1.941,1.406,0.012,0.013,0.006,3.122,3.398,2.402,458.3,521.2,622.1
2317,2.256,1.935,1.396,0.007,0.011,0.011,3.483,3.362,2.331,458.7,524,621.4
2318,2.268,1.946,1.406,0.007,0.011,0.01,3.21,3.454,2.346,457.8,524,622.1
2319,2.265,1.932,1.407,0.012,0.012,0.006,3.109,3.336,2.408,458.7,523.9,622
2320,2.258,1.93,1.405,0.007,0.011,0.011,3.215,3.335,2.315,457.8,523.9,622.3
2321,2.265,1.94,1.414,0.012,0.012,0.006,3.411,3.342,2.459,458.3,523.7,621.8
2322,2.228,1.935,1.406,0.006,0.011,0.011,3.149,3.32,2.323,459.8,524,622.1
2323,2.27,1.93,1.405,0.007,0.011,0.012,3.188,3.334,2.323,458.6,523.9,622.1
2324,2.265,1.852,1.407,0.007,0.011,0.011,3.195,3.538,2.344,457.3,524.5,622
2325,2.231,1.93,1.397,0.008,0.011,0.011,3.175,3.372,2.333,457.7,523.6,621.5
2326,2.249,1.932,1.398,0.011,0.012,0.006,3.346,3.39,2.41,458.8,523.7,621.6
2327,2.206,1.936,1.411,0.006,0.011,0.011,3.14,3.299,2.335,457.5,523.7,622.3
2328,2.271,1.938,1.407,0.007,0.011,0.01,3.44,3.328,2.347,457.5,523.8,621.7
2329,2.265,1.94,1.407,0.011,0.012,0.007,3.147,3.372,2.409,457.4,521.4,622.1
2330,2.272,1.931,1.395,0.012,0.012,0.006,3.32,3.373,2.429,457.6,523.8,621.7
2331,2.2,1.932,1.399,0.012,0.012,0.006,3.108,3.373,2.409,457.6,523.7,621.6
2332,2.225,1.928,1.398,0.011,0.012,0.007,3.097,3.388,2.409,457.8,523.4,621.6
2333,2.261,1.928,1.399,0.013,0.012,0.006,3.103,3.389,2.408,457.6,523.3,621.6
2334,2.181,1.931,1.397,0.007,0.011,0.011,3.182,3.377,2.33,457.6,523.7,621.3
2335,2.27,1.941,1.407,0.012,0.012,0.006,3.12,3.39,2.406,458.6,521.1,622.1
2336,2.264,1.94,1.405,0.007,0.012,0.01,3.224,3.428,2.334,459.7,524.5,622.1
2337,2.266,1.94,1.405,0.007,0.011,0.011,3.18,3.394,2.325,457.7,521.2,622.4
2338,2.263,1.937,1.407,0.007,0.012,0.011,3.383,3.322,2.347,458.1,523.6,621.9
2339,2.269,1.932,1.395,0.008,0.011,0.011,3.475,3.363,2.336,457.7,523.2,621.3
2340,2.255,1.928,1.396,0.008,0.011,0.011,3.473,3.402,2.325,459,523.8,621.5
2341,2.214,1.937,1.41,0.012,0.011,0.006,3.068,3.303,2.42,457.3,523.7,622.1
2342,2.27,1.934,1.391,0.012,0.011,0.006,3.406,3.37,2.434,457.8,523.5,621.9
2343,2.257,1.935,1.409,0.007,0.011,0.011,3.384,3.31,2.36,458.1,523.9,621.5
2344,2.264,1.94,1.409,0.011,0.012,0.006,3.306,3.325,2.433,457.8,523.9,621.7
2345,2.254,1.941,1.405,0.007,0.012,0.01,3.216,3.39,2.323,457.8,521.1,622.2
2346,2.265,1.936,1.41,0.008,0.011,0.011,3.186,3.308,2.37,457.3,523.7,621.6
2347,2.273,1.944,1.405,0.007,0.012,0.011,3.202,3.46,2.325,457.5,523.9,622.2
2348,2.27,1.948,1.408,0.011,0.011,0.006,3.13,3.501,2.424,457.8,524.4,622.2
2349,2.261,1.92,1.399,0.013,0.012,0.006,3.303,3.401,2.408,457.5,523.8,621.6
2350,2.263,1.944,1.408,0.012,0.012,0.007,3.062,3.45,2.422,459.2,524.9,622.1
2351,2.26,1.943,1.407,0.012,0.012,0.006,3.126,3.407,2.406,457.7,521.3,622.2
2352,2.274,1.939,1.405,0.007,0.011,0.011,3.195,3.433,2.327,457.6,525,622.1
2353,2.26,1.94,1.41,0.011,0.012,0.006,3.417,3.314,2.447,458.2,523.6,621.5
2354,2.193,1.949,1.409,0.012,0.011,0.006,3.151,3.44,2.435,457.5,523.9,622
2355,2.199,1.924,1.41,0.012,0.012,0.006,3.134,3.556,2.44,458.1,525.1,621.7
2356,2.247,1.937,1.41,0.008,0.012,0.01,3.408,3.313,2.376,459,523.6,621.6
2357,2.279,1.941,1.406,0.007,0.012,0.01,3.169,3.432,2.326,457.2,525,622.2
2358,2.24,1.939,1.409,0.012,0.012,0.006,3.329,3.339,2.44,459.6,523.9,621.7
2359,2.265,1.938,1.408,0.007,0.012,0.011,3.391,3.31,2.353,458.3,523.7,621.6
2360,2.262,1.938,1.41,0.011,0.012,0.006,3.11,3.308,2.448,457.4,523.7,621.6
2361,2.261,1.941,1.406,0.007,0.012,0.011,3.212,3.393,2.329,457.3,521.1,622.1
2362,2.231,1.934,1.406,0.007,0.011,0.011,3.149,3.306,2.33,458.4,524,621.9
2363,2.214,1.951,1.409,0.007,0.012,0.011,3.22,3.457,2.362,457.4,523.7,621.8
2364,2.174,1.947,1.408,0.011,0.012,0.006,3.165,3.464,2.429,458.6,524.9,622.2
2365,2.241,1.931,1.398,0.011,0.011,0.006,3.377,3.403,2.415,459.5,524,621.5
2366,2.224,1.929,1.398,0.012,0.012,0.007,3.121,3.38,2.41,457.8,523.8,621.6
2367,2.255,1.933,1.395,0.006,0.011,0.011,3.399,3.372,2.335,457.5,523.7,621.4
2368,2.23,1.95,1.408,0.012,0.012,0.006,3.148,3.469,2.433,458.4,523.9,622.2
2369,2.261,1.94,1.408,0.011,0.011,0.005,3.126,3.38,2.412,457.4,521.3,622.1
2370,2.268,1.94,1.407,0.012,0.013,0.006,3.143,3.371,2.412,457.4,521.4,622.2
2371,2.268,1.94,1.406,0.012,0.012,0.007,3.11,3.372,2.418,458.3,521.3,622.2
2372,2.256,1.942,1.405,0.006,0.012,0.012,3.21,3.388,2.322,457.6,521.3,622.3
2373,2.177,1.928,1.397,0.007,0.012,0.011,3.15,3.374,2.33,459.7,523.7,621.4
2374,2.246,1.929,1.396,0.008,0.011,0.011,3.39,3.373,2.33,459.4,524,621.5
2375,2.241,1.93,1.397,0.007,0.011,0.011,3.453,3.395,2.329,459.5,523.7,621.5
2376,2.229,1.925,1.396,0.007,0.012,0.011,3.2,3.398,2.33,457.7,523.6,621.5
2377,2.233,1.922,1.406,0.007,0.011,0.011,3.164,3.51,2.345,458.3,523.9,622.3
2378,2.276,1.942,1.407,0.011,0.013,0.006,3.116,3.443,2.415,457.5,524.7,622.1
2379,2.259,1.928,1.394,0.008,0.011,0.011,3.392,3.379,2.351,458.4,523.8,621.4
2380,2.208,1.94,1.41,0.012,0.011,0.006,3.31,3.324,2.451,457.8,523.7,621.7
2381,2.264,1.935,1.407,0.012,0.011,0.011,3.211,3.306,2.329,457.2,524.2,622
2382,2.264,1.932,1.408,0.011,0.012,0.006,3.1,3.377,2.43,457.6,524.1,621.9
2383,2.266,1.939,1.406,0.007,0.012,0.011,3.191,3.392,2.324,458.3,521.6,622.3
2384,2.275,1.943,1.407,0.012,0.013,0.006,3.103,3.44,2.407,457.5,524.3,622.2
2385,2.26,1.933,1.398,0.011,0.013,0.007,3.406,3.383,2.411,458.7,523.9,621.6
2386,2.273,1.943,1.407,0.012,0.012,0.006,3.107,3.396,2.409,457.6,521.3,622
2387,2.259,1.94,1.405,0.007,0.012,0.01,3.218,3.395,2.33,457.2,521.4,622.2
2388,2.265,1.948,1.409,0.011,0.012,0.006,3.134,3.439,2.443,459.1,524.2,621.8
2389,2.28,1.94,1.408,0.012,0.012,0.007,3.109,3.427,2.44,457.5,525,622.1
2390,2.26,1.932,1.41,0.008,0.011,0.011,3.182,3.301,2.335,457.2,523.9,622.1
2391,2.26,1.93,1.405,0.008,0.011,0.011,3.223,3.315,2.323,457.8,523.8,622
2392,5,5,4.006,0.007,0.011,0.01,5,5,5,0,0,0
2393,2.255,1.937,1.409,0.006,0.011,0.01,3.383,3.329,2.375,457.7,523.9,621.5
2394,2.244,1.935,1.413,0.012,0.012,0.006,3.361,3.327,2.456,459.4,524,621.7
2395,2.269,1.941,1.406,0.011,0.012,0.007,3.118,3.401,2.407,458.8,520.9,622
2396,2.263,1.943,1.407,0.011,0.012,0.006,3.128,3.409,2.407,457.5,521.3,622.2
2397,2.249,1.93,1.397,0.007,0.012,0.011,3.469,3.374,2.333,458.9,523.9,621.3
2398,2.2,1.94,1.405,0.008,0.011,0.011,3.166,3.43,2.325,459.7,525.1,622.2
2399,2.25,1.932,1.396,0.007,0.011,0.011,3.457,3.368,2.323,459,523.4,621.6
2400,2.273,1.931,1.399,0.012,0.011,0.007,3.321,3.38,2.41,457.2,523.7,621.7
2401,2.24,1.938,1.408,0.008,0.011,0.011,3.434,3.32,2.345,458.9,523.5,621.7
2402,2.245,1.938,1.411,0.012,0.012,0.006,3.36,3.327,2.455,458.9,523.7,621.5
2403,2.264,1.94,1.407,0.011,0.013,0.006,3.139,3.385,2.415,457.4,521.2,622
2404,2.234,1.948,1.406,0.007,0.012,0.01,3.172,3.44,2.353,458.8,524.3,622.1
2405,2.263,1.936,1.415,0.011,0.012,0.006,3.105,3.304,2.44,457.4,523.8,622
2406,2.272,1.943,1.406,0.006,0.011,0.01,3.198,3.451,2.341,457.7,524.5,622.1
2407,2.263,1.937,1.408,0.011,0.012,0.005,3.114,3.387,2.411,459,521.3,622.2
2408,2.277,1.938,1.405,0.008,0.011,0.011,3.165,3.432,2.325,457.2,525.2,622.2
2409,2.261,1.938,1.408,0.007,0.012,0.011,3.395,3.312,2.354,458.2,523.6,621.6
2410,2.263,1.938,1.409,0.011,0.012,0.006,3.367,3.308,2.448,458.2,523.8,621.6
2411,2.176,1.93,1.399,0.011,0.011,0.006,3.121,3.377,2.407,457.6,523.9,621.6
2412,2.264,1.938,1.406,0.007,0.012,0.011,3.226,3.38,2.323,457.3,521.4,622.2
2413,2.187,1.929,0,0.007,0.015,10,3.16,3.402,0.125,458.5,523.9,0
2414,2.262,1.939,1.407,0.011,0.012,0.006,3.105,3.372,2.41,458.4,521.6,622.1
2415,2.244,1.936,1.413,0.008,0.011,0.012,3.411,3.32,2.375,459,523.8,621.8
2416,2.27,1.936,1.41,0.01,0.012,0.006,3.076,3.304,2.411,458.5,523.9,622.5
2417,2.262,1.936,1.411,0.012,0.012,0.006,3.321,3.315,2.443,457.6,524,621.5
2418,2.267,1.938,1.412,0.012,0.013,0.006,3.109,3.316,2.414,457.2,524,622.4
2419,2.267,1.936,1.399,0.012,0.011,0.007,3.32,3.349,2.403,458.1,524,621.8
2420,2.26,1.936,1.41,0.008,0.012,0.011,3.184,3.307,2.335,457.4,523.5,622.2
2421,2.253,1.942,1.406,0.011,0.012,0.006,3.125,3.386,2.407,457.7,521.5,622.1
2422,2.267,1.936,1.398,0.012,0.012,0.006,3.317,3.341,2.411,458.1,524,621.4
2423,2.258,1.936,1.407,0.007,0.012,0.011,3.181,3.34,2.334,457.6,525.2,621.8
2424,2.255,1.939,1.406,0.007,0.011,0.01,3.176,3.38,2.319,458.6,521.4,622.3
2425,2.26,1.934,1.394,0.011,0.011,0.007,3.305,3.366,2.431,458.4,523.8,621.6
2426,2.25,1.927,1.398,0.012,0.011,0.006,3.1,3.395,2.413,457.6,523.6,621.5
2427,2.264,1.938,1.407,0.008,0.012,0.011,3.395,3.33,2.345,457.5,523.7,621.9
2428,2.267,1.933,1.394,0.007,0.011,0.011,3.392,3.372,2.338,457.9,523.6,621.4
2429,2.273,1.94,1.407,0.012,0.012,0.006,3.16,3.395,2.406,457.3,521.4,622.1
2430,2.264,1.934,1.408,0.008,0.012,0.01,3.183,3.305,2.343,457.4,523.9,621.7
2431,2.266,1.942,1.407,0.011,0.012,0.006,3.139,3.384,2.412,457.5,521.5,622.1
2432,2.266,1.94,1.41,0.012,0.011,0.006,3.301,3.325,2.438,457.9,523.9,621.6
2433,2.261,1.939,1.405,0.007,0.012,0.011,3.177,3.396,2.323,458.1,521,621.9
2434,2.208,1.929,1.396,0.008,0.011,0.011,3.172,3.389,2.327,458.6,523.8,621.4
2435,2.26,1.933,1.41,0.011,0.012,0.006,3.121,3.31,2.404,457.4,523.7,622.4
