No.,15IV B,16IV G,17IV R,8VF B,9VF G,10VF R,11LMD B,12LMD G,13LMD R
Lower,1.8cd,7.5cd,5.00cd,2.8V,2.8V,1.9V,456nm,519nm,619nm
Upper,3.6cd,16.5cd,12.25cd,3.6V,3.6V,2.5V,465nm,533nm,628nm
